Date,Versus,Ground,How Dismissed,Runs,S/R
28/01/2009,Sri Lanka,Rangiri Dambulla International Stadium,not out,61*,93.85
31/01/2009,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b M F Maharoof,23,65.71
03/02/2009,Sri Lanka,R Premadasa Stadium,not out,35*,77.78
05/02/2009,Sri Lanka,R Premadasa Stadium,c C R D Fernando b S T Jayasuriya,94,97.92
08/02/2009,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b S T Jayasuriya,53,91.38
03/03/2009,New Zealand,McLean Park,not out,84*,94.38
06/03/2009,New Zealand,Westpac Stadium,not out,23*,121.05
08/03/2009,New Zealand,AMI Stadium,c †P D McGlashan b K D Mills,68,117.24
11/03/2009,New Zealand,Seddon Park,did not bat,-,-
14/03/2009,New Zealand,Eden Park,b J D Ryder,9,42.86
26/06/2009,West Indies,Sabina Park,run out,41,89.13
28/06/2009,West Indies,Sabina Park,b J E Taylor,95,73.08
03/07/2009,West Indies,Darren Sammy National Cricket Stadium,not out,46*,135.29
05/07/2009,West Indies,Darren Sammy National Cricket Stadium,did not bat,-,-
11/09/2009,New Zealand,R Premadasa Stadium,not out,35*,53.85
12/09/2009,Sri Lanka,R Premadasa Stadium,b A D Mathews,8,44.44
14/09/2009,Sri Lanka,R Premadasa Stadium,c S H T Kandamby b S L Malinga,56,90.32
26/09/2009,Pakistan,SuperSport Park,lbw b Shahid Afridi,3,33.33
28/09/2009,Australia,SuperSport Park,did not bat,-,-
30/09/2009,West Indies,New Wanderers Stadium,did not bat,-,-
25/10/2009,Australia,Reliance Stadium,c B Lee b S R Watson,34,73.91
28/10/2009,Australia,Vidarbha Cricket Association Stadium,c †T D Paine b M G Johnson,124,115.89
31/10/2009,Australia,Feroz Shah Kotla,not out,71*,74.74
02/11/2009,Australia,Punjab Cricket Association IS Bindra Stadium,c †G A Manou b D E Bollinger,26,56.52
05/11/2009,Australia,Rajiv Gandhi International Stadium,c A C Voges b C J McKay,6,40.00
08/11/2009,Australia,Nehru Stadium (Guwahati),lbw b D E Bollinger,24,31.17
15/12/2009,Sri Lanka,Madhavrao Scindia Cricket Ground,c A D Mathews b C R D Fernando,72,135.85
18/12/2009,Sri Lanka,Vidarbha Cricket Association Stadium,c T M Dilshan b S Randiv,107,96.40
27/12/2009,Sri Lanka,Feroz Shah Kotla,did not bat,-,-
05/01/2010,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b N L T C Perera,37,52.86
07/01/2010,Bangladesh,Shere Bangla National Stadium,not out,101*,94.39
10/01/2010,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-
11/01/2010,Bangladesh,Shere Bangla National Stadium,c Imrul Kayes b Shakib Al Hasan,32,91.43
13/01/2010,Sri Lanka,Shere Bangla National Stadium,c †K C Sangakkara b K M D N Kulasekara,14,73.68
21/02/2010,South Africa,Sawai Mansingh Stadium,c J A Morkel b J H Kallis,26,89.66
24/02/2010,South Africa,Captain Roop Singh Stadium,not out,68*,194.29
27/02/2010,South Africa,Sardar Patel Stadium,c †M V Boucher b D W Steyn,9,128.57
16/06/2010,Bangladesh,Rangiri Dambulla International Stadium,not out,38*,84.44
19/06/2010,Pakistan,Rangiri Dambulla International Stadium,b Shoaib Malik,56,78.87
22/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,run out,41,77.36
24/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,c K M D N Kulasekara b S H T Kandamby,38,76.00
10/08/2010,New Zealand,Rangiri Dambulla International Stadium,run out,2,22.22
16/08/2010,Sri Lanka,Rangiri Dambulla International Stadium,not out,23*,60.53
21/08/2010,Sri Lanka,Rangiri Dambulla International Stadium,c †K C Sangakkara b N L T C Perera,10,62.50
25/08/2010,New Zealand,Rangiri Dambulla International Stadium,c †G J Hopkins b N L McCullum,38,50.67
28/08/2010,Sri Lanka,Rangiri Dambulla International Stadium,b S Randiv,67,67.00
20/10/2010,Australia,Dr YS Rajasekhara Reddy Cricket Stadium,b J W Hastings,0,0.00
12/01/2011,South Africa,Kingsmead,run out,25,71.43
15/01/2011,South Africa,New Wanderers Stadium,b L L Tsotsobe,38,62.30
18/01/2011,South Africa,Newlands,c †A B de Villiers b J Botha,5,41.67
21/01/2011,South Africa,St George's Park,c F du Plessis b R J Peterson,2,25.00
23/01/2011,South Africa,SuperSport Park,c G C Smith b M Morkel,5,50.00
19/02/2011,Bangladesh,Shere Bangla National Stadium,did not bat,-,-
27/02/2011,England,M Chinnaswamy Stadium,c sub b T T Bresnan,31,124.00
06/03/2011,Ireland,M Chinnaswamy Stadium,lbw b G H Dockrell,34,68.00
09/03/2011,Netherlands,Feroz Shah Kotla,not out,19*,47.50
12/03/2011,South Africa,Vidarbha Cricket Association Stadium,not out,12*,57.14
20/03/2011,West Indies,MA Chidambaram Stadium,st D C Thomas b D Bishoo,22,73.33
24/03/2011,Australia,Sardar Patel Stadium,c M J Clarke b B Lee,7,87.50
30/03/2011,Pakistan,Punjab Cricket Association IS Bindra Stadium,lbw b Wahab Riaz,25,59.52
02/04/2011,Sri Lanka,Wankhede Stadium,not out,91*,115.19
03/09/2011,England,Riverside Ground,c †C Kieswetter b T T Bresnan,33,91.67
06/09/2011,England,The Rose Bowl,c I R Bell b T T Bresnan,6,120.00
09/09/2011,England,Kennington Oval,c A N Cook b T T Bresnan,69,66.99
11/09/2011,England,Lord's,not out,78*,109.86
16/09/2011,England,Sophia Gardens,not out,50*,192.31
14/10/2011,England,Rajiv Gandhi International Stadium,not out,87*,124.29
17/10/2011,England,Feroz Shah Kotla,did not bat,-,-
20/10/2011,England,Punjab Cricket Association IS Bindra Stadium,not out,35*,112.90
23/10/2011,England,Wankhede Stadium,not out,15*,83.33
25/10/2011,England,Eden Gardens,not out,75*,108.70
05/02/2012,Australia,Melbourne Cricket Ground,c D A Warner b X J Doherty,29,76.32
08/02/2012,Sri Lanka,WACA Ground,c S L Malinga b K T G D Prasad,4,80.00
12/02/2012,Australia,Adelaide Oval,not out,44*,75.86
14/02/2012,Sri Lanka,Adelaide Oval,not out,58*,84.06
19/02/2012,Australia,Brisbane Cricket Ground,c D T Christian b B W Hilfenhaus,56,66.67
26/02/2012,Australia,Sydney Cricket Ground,lbw b B W Hilfenhaus,14,28.57
28/02/2012,Sri Lanka,Bellerive Oval,did not bat,-,-
13/03/2012,Sri Lanka,Shere Bangla National Stadium,not out,46*,176.92
16/03/2012,Bangladesh,Shere Bangla National Stadium,not out,21*,190.91
18/03/2012,Pakistan,Shere Bangla National Stadium,not out,4*,400.00
21/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c H D R L Thirimanne b N L T C Perera,35,120.69
24/07/2012,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,c †K C Sangakkara b A D Mathews,11,68.75
28/07/2012,Sri Lanka,R Premadasa Stadium,b S L Malinga,31,63.27
31/07/2012,Sri Lanka,R Premadasa Stadium,did not bat,-,-
04/08/2012,Sri Lanka,Pallekele International Cricket Stadium,c †L D Chandimal b S L Malinga,58,152.63
30/12/2012,Pakistan,MA Chidambaram Stadium,not out,113*,90.40
03/01/2013,Pakistan,Eden Gardens,not out,54*,60.67
06/01/2013,Pakistan,Feroz Shah Kotla,c Umar Akmal b Umar Gul,36,65.45
11/01/2013,England,Saurashtra Cricket Association Stadium,c J E Root b J W Dernbach,32,128.00
15/01/2013,England,Nehru Stadium (Kochi),c J E Root b J W Dernbach,72,109.09
19/01/2013,England,JSCA International Stadium Complex,not out,10*,83.33
23/01/2013,England,Punjab Cricket Association IS Bindra Stadium,c E J G Morgan b J W Dernbach,19,90.48
27/01/2013,England,Himachal Pradesh Cricket Association Stadium,lbw b S T Finn,15,65.22
06/06/2013,South Africa,Sophia Gardens,c F du Plessis b L L Tsotsobe,27,103.85
11/06/2013,West Indies,Kennington Oval,did not bat,-,-
15/06/2013,Pakistan,Edgbaston,did not bat,-,-
20/06/2013,Sri Lanka,Sophia Gardens,did not bat,-,-
23/06/2013,England,Edgbaston,c J C Tredwell b R S Bopara,0,0.00
30/06/2013,West Indies,Sabina Park,b T L Best,27,77.14
11/07/2013,Sri Lanka,Queen's Park Oval,not out,45*,86.54
13/10/2013,Australia,Maharashtra Cricket Association Stadium,b C J McKay,19,86.36
16/10/2013,Australia,Sawai Mansingh Stadium,did not bat,-,-
19/10/2013,Australia,Punjab Cricket Association IS Bindra Stadium,not out,139*,114.88
23/10/2013,Australia,JSCA International Stadium Complex,did not bat,-,-
30/10/2013,Australia,Vidarbha Cricket Association Stadium,not out,25*,108.70
02/11/2013,Australia,M Chinnaswamy Stadium,run out,62,163.16
21/11/2013,West Indies,Nehru Stadium (Kochi),not out,13*,185.71
24/11/2013,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,not out,51*,127.50
27/11/2013,West Indies,Green Park,not out,23*,100.00
05/12/2013,South Africa,New Wanderers Stadium,b D W Steyn,65,91.55
08/12/2013,South Africa,Kingsmead,c †Q de Kock b V D Philander,19,61.29
11/12/2013,South Africa,SuperSport Park,did not bat,-,-
19/01/2014,New Zealand,McLean Park,c †L Ronchi b M J McClenaghan,40,86.96
22/01/2014,New Zealand,Seddon Park,c K S Williamson b C J Anderson,56,127.27
25/01/2014,New Zealand,Eden Park,c T G Southee b C J Anderson,50,83.33
28/01/2014,New Zealand,Seddon Park,not out,79*,108.22
31/01/2014,New Zealand,Westpac Stadium,c J D S Neesham b K S Williamson,47,65.28
27/08/2014,England,Sophia Gardens,b C R Woakes,52,101.96
30/08/2014,England,Trent Bridge,did not bat,-,-
02/09/2014,England,Edgbaston,did not bat,-,-
05/09/2014,England,Headingley,c B A Stokes b S T Finn,29,69.05
08/10/2014,West Indies,Nehru Stadium (Kochi),b D J G Sammy,8,38.10
11/10/2014,West Indies,Feroz Shah Kotla,not out,51*,127.50
17/10/2014,West Indies,Himachal Pradesh Cricket Association Stadium,run out,6,120.00
18/01/2015,Australia,Melbourne Cricket Ground,b M A Starc,19,61.29
20/01/2015,England,Brisbane Cricket Ground,c †J C Buttler b S T Finn,34,55.74
26/01/2015,Australia,Sydney Cricket Ground,did not bat,-,-
30/01/2015,England,WACA Ground,lbw b J M Anderson,17,53.13
15/02/2015,Pakistan,Adelaide Oval,c Misbah-ul-Haq b Sohail Khan,18,138.46
22/02/2015,South Africa,Melbourne Cricket Ground,c †Q de Kock b M Morkel,18,163.64
28/02/2015,United Arab Emirates,WACA Ground,did not bat,-,-
06/03/2015,West Indies,WACA Ground,not out,45*,80.36
10/03/2015,Ireland,Seddon Park,did not bat,-,-
14/03/2015,Zimbabwe,Eden Park,not out,85*,111.84
19/03/2015,Bangladesh,Melbourne Cricket Ground,c Nasir Hossain b Taskin Ahmed,6,54.55
26/03/2015,Australia,Sydney Cricket Ground,run out,65,100.00
18/06/2015,Bangladesh,Shere Bangla National Stadium,c †Mushfiqur Rahim b Shakib Al Hasan,5,71.43
21/06/2015,Bangladesh,Shere Bangla National Stadium,c Soumya Sarkar b Mustafizur Rahman,47,62.67
24/06/2015,Bangladesh,Shere Bangla National Stadium,c Mustafizur Rahman b Mashrafe Mortaza,69,89.61
11/10/2015,South Africa,Green Park,c & b K Rabada,31,103.33
14/10/2015,South Africa,Holkar Cricket Stadium,not out,92*,106.98
18/10/2015,South Africa,Saurashtra Cricket Association Stadium,c D W Steyn b M Morkel,47,77.05
22/10/2015,South Africa,MA Chidambaram Stadium,c A B de Villiers b D W Steyn,15,93.75
25/10/2015,South Africa,Wankhede Stadium,b Imran Tahir,27,93.10
12/01/2016,Australia,WACA Ground,c S M Boland b J P Faulkner,18,138.46
15/01/2016,Australia,Brisbane Cricket Ground,c G J Maxwell b S M Boland,11,110.00
17/01/2016,Australia,Melbourne Cricket Ground,c G J Maxwell b J W Hastings,23,255.56
20/01/2016,Australia,Manuka Oval,c †M S Wade b J W Hastings,0,0.00
23/01/2016,Australia,Sydney Cricket Ground,c D A Warner b M R Marsh,34,80.95
11/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
13/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
15/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-
16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,run out,21,87.50
20/10/2016,New Zealand,Feroz Shah Kotla,c & b T G Southee,39,60.00
23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,c L R P L Taylor b M J Henry,80,87.91
26/10/2016,New Zealand,JSCA International Stadium Complex,b J D S Neesham,11,35.48
29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b M J Santner,41,69.49
15/01/2017,England,Maharashtra Cricket Association Stadium,c D J Willey b J T Ball,6,100.00
19/01/2017,England,Barabati Stadium,c D J Willey b L E Plunkett,134,109.84
22/01/2017,England,Eden Gardens,c †J C Buttler b J T Ball,25,69.44
04/06/2017,Pakistan,Edgbaston,did not bat,-,-
08/06/2017,Sri Lanka,Kennington Oval,c L D Chandimal b N L T C Perera,63,121.15
11/06/2017,South Africa,Kennington Oval,did not bat,-,-
15/06/2017,Bangladesh,Edgbaston,did not bat,-,-
18/06/2017,Pakistan,Kennington Oval,c Imad Wasim b Hasan Ali,4,25.00
23/06/2017,West Indies,Queen's Park Oval,not out,9*,100.00
25/06/2017,West Indies,Queen's Park Oval,not out,13*,100.00
30/06/2017,West Indies,Sir Vivian Richards Stadium,not out,78*,98.73
02/07/2017,West Indies,Sir Vivian Richards Stadium,c A S Joseph b K O K Williams,54,47.37
06/07/2017,West Indies,Sabina Park,did not bat,-,-
20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-
24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,45*,66.18
27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,67*,77.91
31/08/2017,Sri Lanka,R Premadasa Stadium,not out,49*,116.67
03/09/2017,Sri Lanka,R Premadasa Stadium,not out,1*,100.00
17/09/2017,Australia,MA Chidambaram Stadium,c D A Warner b J P Faulkner,79,89.77
21/09/2017,Australia,Eden Gardens,c S P D Smith b K W Richardson,5,50.00
24/09/2017,Australia,Holkar Cricket Stadium,not out,3*,50.00
28/09/2017,Australia,M Chinnaswamy Stadium,b K W Richardson,13,130.00
01/10/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-
22/10/2017,New Zealand,Wankhede Stadium,c M J Guptill b T A Boult,25,59.52
25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,not out,18*,85.71
29/10/2017,New Zealand,Green Park,c C Munro b A F Milne,25,147.06
10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,c M D Gunathilaka b N L T C Perera,65,74.71
13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,lbw b N L T C Perera,7,140.00
17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-
01/02/2018,South Africa,Kingsmead,not out,4*,133.33
04/02/2018,South Africa,SuperSport Park,did not bat,-,-
07/02/2018,South Africa,Newlands,c L Ngidi b Imran Tahir,10,45.45
10/02/2018,South Africa,New Wanderers Stadium,not out,42*,97.67
13/02/2018,South Africa,St George's Park,c A K Markram b L Ngidi,13,76.47
16/02/2018,South Africa,SuperSport Park,did not bat,-,-
12/07/2018,England,Trent Bridge,did not bat,-,-
14/07/2018,England,Lord's,c B A Stokes b L E Plunkett,37,62.71
17/07/2018,England,Headingley,c †J C Buttler b D J Willey,42,63.64
18/09/2018,Hong Kong,Dubai International Cricket Stadium,c †S S McKechnie b Ehsan Khan,0,0.00
19/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
21/09/2018,Bangladesh,Dubai International Cricket Stadium,c Mohammad Mithun b Mashrafe Mortaza,33,89.19
23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-
25/09/2018,Afghanistan,Dubai International Cricket Stadium,lbw b Javed Ahmadi,8,47.06
28/09/2018,Bangladesh,Dubai International Cricket Stadium,c †Mushfiqur Rahim b Mustafizur Rahman,36,53.73
21/10/2018,West Indies,Barsapara Cricket Stadium,did not bat,-,-
24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,b O C McCoy,20,80.00
27/10/2018,West Indies,Maharashtra Cricket Association Stadium,c †S D Hope b J O Holder,7,63.64
29/10/2018,West Indies,Brabourne Stadium,c C Hemraj b K A J Roach,23,153.33
01/11/2018,West Indies,Greenfield International Stadium,did not bat,-,-
12/01/2019,Australia,Sydney Cricket Ground,lbw b J P Behrendorff,51,53.13
15/01/2019,Australia,Adelaide Oval,not out,55*,101.85
18/01/2019,Australia,Melbourne Cricket Ground,not out,87*,76.32
23/01/2019,New Zealand,McLean Park,did not bat,-,-
26/01/2019,New Zealand,Bay Oval,not out,48*,145.45
03/02/2019,New Zealand,Westpac Stadium,b T A Boult,1,16.67
02/03/2019,Australia,Rajiv Gandhi International Stadium,not out,59*,81.94
05/03/2019,Australia,Vidarbha Cricket Association Stadium,c U T Khawaja b A Zampa,0,0.00
08/03/2019,Australia,JSCA International Stadium Complex,b A Zampa,26,61.90
